,Year,Month,Date,truck,hour,Upload speed (Mbits/sec),Download speed (MBits/sec),Download speed (MBytes),Upload size (MBytes),Upload throughput (MBytes),speed,Response time from CloudflareDNS (ms),Response time from GoogleDNS (ms),Response time from OptusDNS (ms),Response time from EC2DNS (ms)
3,2022.0,7.0,7.0,garbo09,8.0,7.897941922751621,16.158580666760642,1.9263369352621935,0.9402311812799549,0.00713407674036057,8.770667480124049,254.16309210526316,253.2157894736842,360.16513157894735,273.4823355263158
4,2022.0,7.0,7.0,garbo09,9.0,6.0964912280701755,9.993718437804581,1.1913364792188808,0.7257727652464494,0.007841556127341569,47.52798084990254,416.3118484946585,414.86833926837164,501.1835545483975,429.1798316607316
5,2022.0,7.0,7.0,garbo09,10.0,4.150805270863836,16.439663238927526,1.959700482704978,0.49414348462664714,0.009359790360770462,7.842085071742313,465.10995521873923,465.1445401308991,557.0013778849466,481.79586634516016
6,2022.0,7.0,7.0,garbo09,11.0,4.701432835820896,15.50756682602612,1.8484809818097014,0.5597014925373134,0.0036955678284604546,12.805636026198274,615.911937716263,615.9252595155709,678.70276816609,626.5098961937716
7,2022.0,7.0,7.0,garbo09,12.0,10.322465404596976,31.502852418529596,3.755361657745592,1.2294126456234256,0.007922156177750416,42.17092634502104,420.55758985879334,421.10459563543003,501.37451861360717,432.6074454428755
8,2022.0,7.0,7.0,garbo09,13.0,,,,,0.00020927459059862284,5.364303501730103,191.7995991983968,194.09719438877755,295.8236472945892,202.64028056112224
9,2022.0,7.0,7.0,garbo09,15.0,24.601169590643277,57.59473684210527,6.865730994152046,2.9322859557748537,0.004033611101262686,0.9984027499999999,376.53360995850625,372.6489626556016,453.8713692946058,382.7078838174274
10,2022.0,7.0,7.0,garbo09,16.0,28.20820105820106,81.64338624338625,9.72936507936508,3.3627777777777776,0.0045458526207656095,0.934275417989418,32.83149847094801,32.44097859327217,157.5321100917431,53.3045871559633
0,2022.0,7.0,8.0,garbo09,4.0,,,,,0.006508336590893655,-0.3157757280453258,54.41935483870968,55.39806451612904,175.5193548387097,70.49967741935484
1,2022.0,7.0,8.0,garbo09,5.0,14.460017921146955,25.380474630376344,3.025690209173387,1.7247132616487455,0.008777258011505987,22.711199947269304,107.8009978308026,109.30798264642083,224.9479392624729,127.12147505422993
2,2022.0,7.0,8.0,garbo09,6.0,11.716382242721247,16.19091926933194,1.930149389571022,1.39735082156241,0.00968487470972668,5.045049816085327,103.12630182421226,104.49290215588722,222.3004975124378,121.55330016583748
3,2022.0,7.0,8.0,garbo09,7.0,13.73987902035999,12.571009147241075,1.4986135866959278,1.6367689583948068,0.00678351608551012,5.976549462378283,45.34649182561307,46.02854223433242,171.9216621253406,71.27946185286103
4,2022.0,7.0,8.0,garbo09,8.0,10.538310412573674,14.311201136244035,1.7059720044774418,1.2545607634016278,0.00556246163033378,5.996053900645523,171.6227613155324,172.28723542819927,283.01953760989903,193.4258547704331
5,2022.0,7.0,8.0,garbo09,9.0,7.6264119134588375,9.915114158208064,1.1819075840957785,0.9079095251475133,0.004115031253892905,16.55922831806687,417.7918445968005,417.86735226901726,501.932092719556,432.59709435194253
6,2022.0,7.0,8.0,garbo09,10.0,9.851664648910413,17.988251344251285,2.1442566243095493,1.172820823244552,0.0038664825892043954,13.375557883777239,228.94487090020934,228.97903000697838,333.1727145847872,248.71814375436145
7,2022.0,7.0,8.0,garbo09,11.0,11.680673708250072,23.175412079824437,2.7627375586550813,1.3905937767627747,0.00297928863751895,5.013456719383386,188.30677898909812,189.16907829534193,296.0706970597952,210.0651139742319
8,2022.0,7.0,8.0,garbo09,12.0,9.182787118837275,24.97498789941935,2.977115002270946,1.0932601880877744,0.000654420067218327,14.610140653177544,401.70672572178484,402.3739501312336,488.69389763779526,417.4042322834646
9,2022.0,7.0,8.0,garbo09,13.0,6.330514705882353,18.4320639666389,2.1972185650993796,0.7536764705882353,0.0,23.56103411909651,483.82704354774273,485.27984818218135,564.9368757491011,497.7330803036356
10,2022.0,7.0,8.0,garbo09,14.0,,,,,0.002819519776564342,2.558817096153846,147.90573770491804,146.7810382513661,255.83879781420765,157.89071038251367
0,2022.0,7.0,11.0,garbo09,5.0,8.612364411943936,11.09909070783821,1.323208314290067,1.026289276736746,0.005326289397019574,22.852582786057692,312.24707501720576,312.4052993805919,404.16517549896764,324.4575361321404
1,2022.0,7.0,11.0,garbo09,6.0,7.442990927714369,14.460134483830846,1.723731346141535,0.8868042142230026,0.006832795426410825,6.625879088088967,288.2958885490996,288.7745497791369,385.8732585796806,302.5951410125722
2,2022.0,7.0,11.0,garbo09,7.0,6.92814371257485,15.666673438836613,1.8676822443283077,0.8247790134017678,0.003493824608821522,6.908619227830054,236.91069182389936,237.17279046673286,344.28599801390266,253.3527308838133
3,2022.0,7.0,11.0,garbo09,8.0,6.288185654008439,10.76735296896976,1.2835755098452881,0.7485935302390999,0.002945554440869864,27.181601052039383,354.9513046314416,355.67534246575343,447.6405740378343,369.28783431180693
4,2022.0,7.0,11.0,garbo09,9.0,8.274653979238755,14.830997772040803,1.7680671721813725,0.9850778546712803,0.0018054919259358063,7.9769776286043825,215.17308970099668,214.74382059800666,321.231561461794,229.94833887043188
5,2022.0,7.0,11.0,garbo09,10.0,10.730644523527085,8.959905239842824,1.0680193041963226,1.2774927404606564,0.0016780412204153996,6.191445403425871,223.41606657608696,223.63308423913045,324.6277173913044,238.51134510869565
6,2022.0,7.0,11.0,garbo09,11.0,12.739433739677546,20.310668501769563,2.4211014150363743,1.5169473186197404,0.0017025600405905358,6.364000303884891,122.27369333333334,123.17287333333333,239.34066666666666,143.21776666666668
7,2022.0,7.0,11.0,garbo09,12.0,10.050993161836535,14.000421845744464,1.6690907506716055,1.1966395310973625,9.176804880751446e-08,43.91428518397916,312.83325834270715,312.24449568803897,407.0588676415448,330.0281214848144
0,2022.0,7.0,12.0,garbo09,4.0,29.32753333333333,82.76266666666666,9.864377777777777,3.495883246527778,0.00424567463383756,0.037810528827037775,140.90753424657535,140.59611872146118,251.7876712328767,158.63995433789955
1,2022.0,7.0,12.0,garbo09,5.0,15.504412740544128,12.082188977480092,1.4402206759082614,1.8466148857415394,0.006642765533989845,33.8618114040466,149.03558269364967,148.66575017445916,260.880669923238,163.2440334961619
2,2022.0,7.0,12.0,garbo09,6.0,11.746618575293057,18.038062467125037,2.1503249249746395,1.3984069732491735,0.008378790777153065,6.153717424706943,135.5489688581315,135.17201730103807,247.85640138408306,152.19217993079585
3,2022.0,7.0,12.0,garbo09,7.0,10.731187290969899,15.558543032983208,1.854742626245471,1.2775222965440356,0.0031296760342192534,5.797255629877369,230.55864384888602,230.1240232483048,330.7617048756861,244.26173716499838
4,2022.0,7.0,12.0,garbo09,8.0,12.903357664233576,16.218893755702556,1.9335148779653284,1.5361313868613138,0.0019928652352659802,10.612078035620438,95.3297842211733,95.04926837491571,212.9763991908294,112.12832097100471
5,2022.0,7.0,12.0,garbo09,9.0,6.942829140803659,12.45650278325098,1.484915357139211,0.8265272786671023,0.0017163243335821979,44.38696791244691,296.22685410334344,295.90565349544073,394.8628419452888,313.54331306990883
6,2022.0,7.0,12.0,garbo09,10.0,10.881025290498975,13.399166097060833,1.5973003887559807,1.2971591443096377,0.003185545241952299,3.2543986327759193,47.477197549770295,47.972741194486986,171.6883614088821,70.26623277182236
7,2022.0,7.0,12.0,garbo09,11.0,12.735274493243244,13.656701858108107,1.627826125686233,1.5183367260082348,0.004286736652657749,1.9814441672297296,28.16734793187348,29.421021897810217,154.53430656934307,53.04968369829684
0,2022.0,7.0,13.0,garbo09,13.0,12.4425,23.31875,2.78,1.482496337890625,0.0027141276094102083,-1.0,297.6965517241379,298.71724137931034,389.5287356321839,315.0505747126437
1,2022.0,7.0,13.0,garbo09,14.0,,,,,0.0,-1.0,983.5381355932203,983.5296610169491,985.5508474576271,983.7779661016949
2,2022.0,7.0,13.0,garbo09,15.0,25.22271565495208,83.06198083067092,9.899984025559105,3.0056997969914803,0.003354370656965104,2.0105559472016896,35.68077858880778,35.72232360097323,160.6338199513382,52.526642335766425
0,2022.0,7.0,14.0,garbo09,5.0,15.891849547511313,20.562472901495333,2.4509311037365666,1.8948377845729638,0.009764672317544517,13.359192125514403,120.79760233918128,120.90619883040937,234.73040935672515,136.93181286549708
1,2022.0,7.0,14.0,garbo09,6.0,10.96207972270364,18.377735830535094,2.1908955264298093,1.3054901091312825,0.009961746663182232,5.4891622010398615,208.72990654205609,208.9409546061415,314.7660213618158,226.45894526034712
2,2022.0,7.0,14.0,garbo09,7.0,16.75243936437134,30.843537775299694,3.676689194487037,1.994354613883468,0.0074113330569877,7.356762649567884,31.37026765559497,31.043631086746213,157.39213157046115,51.327958722992584
